Product Number,ERP PRICE,SHEIN PRICE,SLEEVE,NECKLINE,LENGTH,FIT,DETAIL,STYLE MOOD,PIECE,MODEL,NOTES,TOP1_CHEST,TOP1_LENGTH,TOP1_SLEEVE,TOP2_CHEST,TOP2_LENGTH,TOP2_SLEEVE,BOTTOM_WAIST,BOTTOM_HIP,BOTTOM_LENGTH,BOTTOM_INSEAM,TEMU PRICE
BT3579,3.0,11.5,Long,Round,Crop Top,Slim,,Casual,Single,Latina/Black,Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT3649,6.0,16,Long,Cut Out,,Slim,Cut Out,Sexy,Single,Latina/Black,Video,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT3932,5.5,14,Sleeveless,One Shoulder,,Slim,Cut Out,Sexy,Single,"Latina/Black, Caucasian",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT3952,4.0,12,Short,Crew,Long Top,Loose,Twist,Lounge,Single,Caucasian,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT3969,2.75,10.5,Sleeveless,Cami,Crop Top,Slim,,Casual,Single,Latina/Black,Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT3971,3.5,12.25,Sleeveless,Cut Out,Crop Top,Slim,Cut Out,Casual,Single,Latina/Black,Video,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT3972,3.5,12.25,Sleeveless,One Shoulder,Crop Top,Slim,Cut Out,Casual,Single,"Latina/Black, Caucasian",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT5201,3.0,11,Sleeveless,V Neck,Waist Top,Slim,,Casual,Single,"Caucasian, Latina/Black",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT5300,5.0,8.9,Sleeveless,Hooded,Crop Top,Regular,Drawstring,Casual,Single,Caucasian,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT5343,3.75,12.5,Long,Round,Waist Top,Slim,,Casual,Single,"Caucasian, Latina/Black",Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT5409,2.75,11,Sleeveless,Round,Crop Top,Slim,,Casual,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT5492,3.5,11.5,Short,Round,Waist Top,Slim,,Casual,Single,Latina/Black,"Video, Size Chart",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT5507,2.75,11,Sleeveless,Tube,Crop Top,Slim,Mesh,Sexy,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT5528,2.75,10,Sleeveless,Halter,Waist Top,Slim,Stripe,Casual,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT5558,4.75,13,Long,Scoop,,Slim,,Casual,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT5574,3.0,11,Short,Square,Crop Top,Slim,Stripe,Casual,Single,Latina/Black,"Video, Size Chart",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT5582,3.25,12,Long,Square,Waist Top,Slim,,Casual,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BT5583,3.0,11.25,Short,Mock,Waist Top,Slim,,Casual,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTD3742,14.5,28,Long,Jacket,"Long Top, Midi Dress",Regular,,Lounge,Single,"Caucasian, Latina/Black",Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP2955,7.0,10.99,Sleeveless,Scoop,"Waist Top, Shorts",Regular,,Lounge,Single,Latina/Black,Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP2955X,9.0,18.75,Sleeveless,Scoop,"Waist Top, Shorts",Regular,,Lounge,Single,"Plus, Latina/Black",Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP3245X,10.75,21,Sleeveless,Scoop,"Crop Top, Full",Slim,"Ruched, Pocket, Drawstring",Casual,Single,Plus,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP3398,10.5,20.65,Long,Round,"Crop Top, Full",Regular,Pocket,Casual,Single,Latina/Black,Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
