Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
CAPELLA APPAREL,BTP5478,6.5,15.5,Sleeveless,Tube,"Crop Top, Full",Slim,,Casual,Single,Latina/Black,Size Chart,
CAPELLA APPAREL,BTS5263,5.5,13.5,Sleeveless,Halter,"Crop Top, Mini Skirt",Slim,Backless,Sexy,Single,Caucasian,,5/30 outdoor pic
CAPELLA APPAREL,BTS5581,8.5,19.5,Long,Mock,"Crop Top, Maxi Skirt",Slim,Drawstring,Casual,Single,Latina/Black,,
CAPELLA APPAREL,ST32107,4.25,13,Sleeveless,Round,Crop Top,Slim,Graphic,Casual,Single,Latina/Black,,
OUTLET,BD3458,6,14.75,Sleeveless,One Shoulder,Mini Dress,Slim,Cut Out,Sexy,Single,Latina/Black,,6/5 outdoor pic
OUTLET,BD3458X,7.75,17,Sleeveless,One Shoulder,Mini Dress,Slim,Cut Out,Sexy,Single,"Plus, Latina/Black",,
OUTLET,BD3479,5.5,11.79,Sleeveless,One Shoulder,Mini Dress,Slim,"Cut Out, Ruched",Sexy,Single,Latina/Black,,6/11 outdoor pic
OUTLET,BD3492,7.75,11,Sleeveless,Halter,Midi Dress,Slim,"Slit, Ring, Tie, Backless",Sexy,Single,Latina/Black,,
OUTLET,BD5240,5.75,11.75,Sleeveless,Tube,Mini Dress,Slim,Corset,Sexy,Single,Latina/Black,,5/30 outdoor pic
OUTLET,BP3611,6.5,11.75,,,Full,Regular,Button/Zipper,Formal,Single,Latina/Black,,6/11 outdoor pic
OUTLET,BP5284,4.75,9.89,Short,Crew,,Slim,Backless,Casual,Single,"Latina/Black, Caucasian",,5/30 outdoor pic
OUTLET,BP5295,5.25,10.79,Sleeveless,Square,Shorts,Slim,,Casual,Single,Latina/Black,Video,5/30 outdoor pic
OUTLET,BT3043,5.5,12,Long,Mock,,Slim,,Casual,Single,Latina/Black,,
OUTLET,BT5382,4.5,13.75,Long,Round,Crop Top,Slim,Button/Zipper,Casual,Single,Caucasian,,
OUTLET,BTP3342,5.75,10.79,Sleeveless,Cami,"Crop Top, Shorts",Slim,Slit,Casual,Single,Latina/Black,,
OUTLET,BTP3342X,7.25,13.5,Sleeveless,Cami,"Crop Top, Shorts",Slim,Slit,Casual,Single,"Plus, Latina/Black",,
OUTLET,BTS3459,7.25,9.79->10.89,Sleeveless,One Shoulder,"Crop Top, Midi Skirt",Slim,"Drawstring, Slit, Ruched, Criss cross",Sexy,Single,Latina/Black,,
OUTLET,BTS3516,6.5,11,Sleeveless,One Shoulder,"Crop Top, Mini Skirt",Slim,Ruched,Sexy,Single,Latina/Black,,
OUTLET,BTS3516X,8,13.5,Sleeveless,One Shoulder,"Crop Top, Mini Skirt",Slim,Ruched,Sexy,Single,"Plus, Latina/Black",,
OUTLET,BTS3640,8,15.5,Long,Square,"Crop Top, Midi Skirt",Slim,Slit,Sexy,Single,Latina/Black,Size Chart,
CAPELLA APPAREL,BP3365X,4,12.5,,,Knee,Slim,Mesh,Sexy,Single,Latina/Black,,
CAPELLA APPAREL,BD5231,6.75,15.75,Sleeveless,Round,Midi Dress,Slim,Fringe,Casual,Single,Latina/Black,,
CAPELLA APPAREL,BD5501,6.75,15.75,Sleeveless,Cami,Maxi Dress,Slim,"Slit, Lace",Sexy,Single,Latina/Black,,
CAPELLA APPAREL,BT3577,7,17.5,Long,Hooded,Crop Top,Slim,Button/Zipper,Casual,Single,Latina/Black,,
CAPELLA APPAREL,AT51213,4.75,13.5,Sleeveless,Halter,Crop Top,Slim,Racer Back,Activewear,Single,Caucasian,,
OUTLET,AP31137,4.25,12,,,Shorts,Slim,,Activewear,Single,"Latina/Black, Caucasian",,
CAPELLA APPAREL,AP81334,7.5,15,,,Full,Regular,Wide Leg,Activewear,Single,Caucasian,Size Chart,
CAPELLA APPAREL,BP3935,9.5,18.79,Short,Crew,Full,Regular,Tie,Lounge,Single,"Caucasian, Latina/Black",Size Chart,
CAPELLA APPAREL,BP3931,6.75,13.59,Sleeveless,Collar,Shorts,Slim,Button/Zipper,Casual,Single,"Latina/Black, Caucasian",Size Chart,
OUTLET,BP5118,5.5,10.59,,,Full,Slim,Pocket,Formal,Single,Caucasian,,
CAPELLA APPAREL,BD5137,5.5,13.59,Sleeveless,Tube,Mini Dress,Slim,Cut Out,Casual,Single,"Latina/Black, Caucasian",,
CAPELLA APPAREL,BD5264,5,11.59,Sleeveless,Tube,Mini Dress,Slim,Cut Out,Sexy,Single,Latina/Black,Size Chart,
OUTLET,BD2895,6,10.79,Sleeveless,Tube,Midi Dress,Slim,Ruched,Sexy,Single,"Latina/Black, Caucasian",Size Chart,
OUTLET,BTS3485,5.5,10.89,Sleeveless,One Shoulder,"Crop Top, Midi Skirt",Slim,Slit,Sexy,Single,Latina/Black,Size Chart,5/30 outdoor pic
OUTLET,BD2601,7.75,9.89,Short,V Neck,Maxi Dress,Loose,"Pocket, Slit",Lounge,Single,Latina/Black,Size Chart,
OUTLET,BD3414,7.5,12.49,Sleeveless,Spaghetti,Maxi Dress,Slim,"Criss cross, Backless, Slit",Sexy,Single,"Latina/Black, Caucasian",Size Chart,
OUTLET,BD3171,7,10.89,Sleeveless,Tube,Mini Dress,Slim,"Ruched, Drawstring",Sexy,Single,Latina/Black,,
OUTLET,BD3128,6.5,10.79,Sleeveless,Spaghetti,Mini Dress,Slim,"Ruched, Drawstring",Sexy,Single,Latina/Black,,
CAPELLA APPAREL,BTP3251,7,15.49,Sleeveless,Scoop,"Crop Top, Full",Slim,,Casual,Single,Latina/Black,,
CAPELLA APPAREL,BD2552,7.5,15.89,Sleeveless,Cami,Maxi Dress,Slim,,Sexy,Single,Latina/Black,Size Chart,
CAPELLA APPAREL,BD2343,5.75,13.92,Sleeveless,Tube,Midi Dress,Slim,,Sexy,Single,"Latina/Black, Caucasian",Size Chart,
CAPELLA APPAREL,BD3176,7.5,16.75,Sleeveless,Scoop,Maxi Dress,Slim,,Casual,Single,"Latina/Black, Caucasian",Size Chart,6/5 outdoor pic
CAPELLA APPAREL,BTS3169,7.5,10.89,Sleeveless,Spaghetti,"Crop Top, Maxi Skirt",Slim,Slit,Sexy,Single,Latina/Black,Size Chart,
CAPELLA APPAREL,BTS2996,8.75,16.49,Short,Crew,"Waist Top, Midi Skirt",Regular,,Casual,Single,Latina/Black,Size Chart,
CAPELLA APPAREL,BP3050,7,14.49,Sleeveless,Scoop,Full,Slim,Racer Back,Casual,Single,Latina/Black,,
OUTLET,BD5260,6,11.25,Short,V Neck,Mini Dress,Slim,,Casual,Single,"Latina/Black, Caucasian",Size Chart,
OUTLET,BD5215,8,12.59,Sleeveless,Halter,Maxi Dress,Slim,"Cut Out, Slit, Ring",Sexy,Single,"Caucasian, Latina/Black",Size Chart,5/30 outdoor pic
CAPELLA APPAREL,BD5216,7.75,15.49,Sleeveless,Scoop,Midi Dress,Slim,Backless,Casual,Single,"Latina/Black, Caucasian",Size Chart,
CAPELLA APPAREL,BT5196,4.5,11.59,Short,Crew,Crop Top,Loose,"Drawstring, Tie",Casual,Single,Latina/Black,Size Chart,
CAPELLA APPAREL,BT5196X,5.75,13.59,Short,Crew,Crop Top,Loose,"Drawstring, Tie",Casual,Single,"Plus, Latina/Black",Size Chart,
CAPELLA APPAREL,BD5286,7.5,14.99,Sleeveless,V Neck,Maxi Dress,Slim,Slit,Sexy,Single,"Latina/Black, Caucasian",Size Chart,
OUTLET,BTS3520,7.75,15,Sleeveless,Spaghetti,"Crop Top, Midi Skirt",Slim,"Slit, Criss cross",Sexy,Single,Latina/Black,,
CAPELLA APPAREL,BTP3740,14.5,25,Long,Scoop,"Full, Long Top",Slim,,Lounge,Single,Latina/Black,,
CAPELLA APPAREL,BP5211,7.5,16.29,Sleeveless,Scoop,Full,Loose,"Exposed Seam, Wide Leg",Lounge,Single,Latina/Black,Size Chart,
CAPELLA APPAREL,BD5366,7.5,14.89,Sleeveless,Mock,Maxi Dress,Slim,Slit,Casual,Single,"Caucasian, Latina/Black",Size Chart,
CAPELLA APPAREL,BD5383,7.5,14.79,Sleeveless,Crew,Midi Dress,Regular,"Slit, Drawstring, Tie",Lounge,Single,"Caucasian, Latina/Black",Size Chart,5/30 outdoor pic
CAPELLA APPAREL,BT5360,6,12.99,Long,V Neck,,Slim,Ruched,Sexy,Single,Caucasian,Size Chart,
CAPELLA APPAREL,BT5282,7,14,Long,Hooded,Crop Top,Slim,"Drawstring, Button/Zipper",Casual,Single,Caucasian,Size Chart,
CAPELLA APPAREL,BP5283,5.5,12.89,,,Full,Slim,Drawstring,Casual,Single,Caucasian,,
CAPELLA APPAREL,BD5388,8.25,15.69,Long,High,Midi Dress,Slim,Slit,Casual,Single,Caucasian,,
CAPELLA APPAREL,BT5339,3.75,9.89,Long,Mock,Waist Top,Slim,"Graphic, Mesh",Sexy,Single,Latina/Black,,
CAPELLA APPAREL,BT3378,6,13.59,Long,High,,Slim,,Casual,Single,Latina/Black,Size Chart,
CAPELLA APPAREL,BT3468,4.75,10.89,Sleeveless,Spaghetti,,Slim,Criss cross,Sexy,Single,Latina/Black,Size Chart,
CAPELLA APPAREL,BTS3466,7.5,11.89,Sleeveless,Cami,"Crop Top, Midi Skirt",Slim,Slit,Sexy,Single,Latina/Black,Size Chart,6/11 outdoor pic
CAPELLA APPAREL,BD5361,9.5,15.79,Sleeveless,Round,Maxi Dress,Regular,"Button/Zipper, Tie, Drawstring",Lounge,Single,"Caucasian, Latina/Black",Size Chart,
CAPELLA APPAREL,BD3473,5.5,14,Sleeveless,One Shoulder,Midi Dress,Slim,Ruched,Sexy,Single,Latina/Black,,
CAPELLA APPAREL,BD3546,5,13.5,Sleeveless,Split,Midi Dress,Slim,Slit,Sexy,Single,Latina/Black,Size Chart,
CAPELLA APPAREL,BP3515,7,15,Sleeveless,One Shoulder,Full,Slim,,Casual,Single,Latina/Black,Size Chart,
OUTLET,BD5379,5.75,10.89,Sleeveless,High,Mini Dress,Slim,,Casual,Single,Caucasian,Size Chart,
CAPELLA APPAREL,BP3060,8.75,18,Sleeveless,Scoop,Full,Slim,Drawstring,Casual,Single,Latina/Black,Size Chart,
CAPELLA APPAREL,BT3500,5.5,11.89,Sleeveless,One Shoulder,,Slim,Cut Out,Sexy,Single,"Caucasian, Latina/Black",,
CAPELLA APPAREL,BD2962,6.75,15,Short,Crew,Midi Dress,Slim,,Casual,Single,Latina/Black,Size Chart,
CAPELLA APPAREL,BP5186,8.75,18,Sleeveless,Cowl,Full,Regular,"Wide Leg, Backless, Slit",Casual,Single,Caucasian,,
CAPELLA APPAREL,BTP3132,8.5,18,Sleeveless,Mock,"Crop Top, Full",Slim,,Casual,Single,Latina/Black,,
CAPELLA APPAREL,BP2842,7.5,16.5,Sleeveless,Cami,Full,Slim,"Criss cross, Backless",Sexy,Single,Latina/Black,,
CAPELLA APPAREL,BTP2978,13.5,24,Long,Jacket,"Long Top, Full",Regular,Drawstring,Lounge,Single,Latina/Black,Size Chart,6/11 outdoor pic
CAPELLA APPAREL,BTP2978X,13,26,Long,Jacket,"Long Top, Full",Regular,Drawstring,Lounge,Single,"Plus, Latina/Black",Size Chart,
CAPELLA APPAREL,BP3102,9.5,17,Long,Mock,Full,Slim,,Casual,Single,Latina/Black,,
CAPELLA APPAREL,BP3010,9.5,18.75,Short,Scoop,Full,Regular,"Drawstring, Pocket",Lounge,Single,Latina/Black,,
CAPELLA APPAREL,BP2985,7.75,17,Sleeveless,Halter,Full,Slim,,Sexy,Single,Latina/Black,,
CAPELLA APPAREL,BP2985X,9.75,20,Sleeveless,Halter,Full,Slim,,Sexy,Single,"Plus, Latina/Black",Size Chart,
CAPELLA APPAREL,BD2972,7.5,15.5,Short,V Neck,Mini Dress,Loose,Pocket,Lounge,Single,Latina/Black,,
CAPELLA APPAREL,BD3601,8,15,Long,Hooded,Mini Dress,Regular,"Pocket, Drawstring",Lounge,Single,Latina/Black,Size Chart,
CAPELLA APPAREL,BT3970,3.5,10.99,Sleeveless,Mock,Waist Top,Regular,Ruched,Casual,Single,Latina/Black,Size Chart,
OUTLET,BT3374,5.25,9.89,Long,V Neck,Crop Top,Slim,"Tie, Wrap",Sexy,Single,Latina/Black,Size Chart,6/6 outdoor pic
CAPELLA APPAREL,BD5367,8,16,Long,Mock,Midi Dress,Slim,,Casual,Single,Caucasian,Size Chart,
CAPELLA APPAREL,BD5386,8.75,15.89,Sleeveless,Scoop,Maxi Dress,Loose,Tier,Casual,Single,"Caucasian, Latina/Black",Size Chart,6/5 outdoor pic
CAPELLA APPAREL,BD5457,7.75,14.99,Short,V Neck,Maxi Dress,Loose,"Pocket, Slit",Lounge,Single,Caucasian,Size Chart,
CAPELLA APPAREL,ST32164,5,15.5,Long,Jacket,Waist Top,Regular,"Button/Zipper, Graphic",Casual,Single,"Caucasian, Latina/Black",Size Chart,
OUTLET,BP5252,5.5,10.89,Sleeveless,One Shoulder,Shorts,Loose,,Lounge,Single,Caucasian,Video,5/30 outdoor pic
CAPELLA APPAREL,BP5587,5.75,14,,,Full,Loose,Pocket,Casual,Single,Latina/Black,,
CAPELLA APPAREL,BP5587X,5.75,16,,,Full,Loose,Pocket,Casual,Single,"Plus, Caucasian",Size Chart,
CAPELLA APPAREL,BT5586,4.75,13,Long,Crew,Waist Top,Regular,,Casual,Single,"Latina/Black, Asian",Size Chart,
